id;género;edad;fecha_compra;factura;Bebida_favorita;horario;región;satisfacción
0;;28;20230212;65400;Latte;10-12;Pacífica;1
1;F;55;20230715;112000;Espresso Macchiato;16-18;Insular;4
2;;28;20240712;65400;Chocolate Caliente;10-12;Caribe;4
3;F;75;20230509;100000;Chocolate Blanco;16-18;Orinoquía;5
4;;28;20230804;65400;Mocha Blanco Latte;16-18;Andina;3
5;M;68;20240426;70000;Flat White;16-18;Caribe;1
6;;28;20230925;65400;Mocha Blanco Latte;16-18;Andina;3
7;;28;20231002;65400;Arequipe Latte;18-20;Pacífica;5
8;M;65;20240209;53000;Caramel Macchiato;12-14;Andina;2
9;;28;20221122;65400;Latte;12-14;Orinoquía;2
10;;28;20230824;65400;Americano;18-20;Insular;2
11;;28;20210919;65400;Flat White;14-16;Orinoquía;3
12;M;58;20231111;51000;Latte;12-14;Caribe;1
13;F;61;20230911;57000;Flat White;10-12;Caribe;2
14;M;26;20200213;46000;Mocha Blanco Latte;20-22;Pacífica;1
15;F;62;20220211;71000;Café del día;12-14;Caribe;5
16;M;49;20201113;52000;Mocha Latte;14-16;Andina;4
17;;28;20230801;65400;Café del día;10-12;Insular;3
18;M;57;20231231;42000;Café del día;12-14;Caribe;4
19;F;61;20240501;40000;Latte;14-16;Caribe;5
20;F;40;20220504;71000;Cappuccino;20-22;Orinoquía;2
21;M;64;20230909;100000;Latte Macchiato;14-16;Andina;4
22;F;78;20230616;71000;Chocolate Blanco Helado;18-20;Pacífica;1
23;;28;20230907;65400;Chocolate Caliente;20-22;Andina;3
24;M;42;20190811;69000;Americano;16-18;Caribe;5
25;F;56;20240428;88000;Mocha Blanco Latte;20-22;Caribe;2
26;;28;20230330;65400;Flat White;16-18;Andina;4
27;F;33;20230926;52000;Chocolate Blanco;20-22;Orinoquía;2
28;F;46;20230911;59000;Chocolate Blanco;16-18;Andina;4
29;M;59;20210121;41000;Chocolate Blanco Helado;16-18;Insular;4
30;M;67;20200823;96000;Chocolate Blanco Helado;16-18;Orinoquía;3
31;O;53;20230916;52000;Chocolate Blanco;10-12;Andina;3
32;M;22;20230925;70000;Café del día;16-18;Andina;4
33;F;96;20231117;89000;Espresso Macchiato;18-20;Insular;3
34;M;40;20220709;33000;Latte;12-14;Orinoquía;4
35;F;69;20220814;57000;Chocolate Blanco;12-14;Orinoquía;4
36;;28;20220707;65400;Cappuccino;10-12;Orinoquía;5
37;M;56;20200511;68000;Mocha Latte;10-12;Pacífica;4
38;F;26;20230812;63000;Espresso Sencillo;20-22;Caribe;5
39;;28;20240113;65400;Espresso Sencillo;20-22;Orinoquía;4
40;M;75;20211112;40000;Chocolate Blanco Helado;12-14;Andina;5
41;F;20;20220711;30000;Mocha Latte;10-12;Pacífica;1
42;M;45;20240707;33000;Espresso Sencillo;16-18;Andina;5
43;M;61;20231121;98000;Espresso Macchiato;10-12;Andina;3
44;;28;20201111;65400;Latte Macchiato;20-22;Orinoquía;3
45;;28;20230511;65400;Arequipe Latte;16-18;Caribe;1
46;F;69;20190918;37000;Espresso Sencillo;10-12;Orinoquía;1
47;F;54;20230207;80000;Arequipe Latte;16-18;Andina;4
48;M;39;20200527;51000;Arequipe Latte;12-14;Orinoquía;2
49;F;41;20210921;41000;Mocha Latte;10-12;Caribe;2
50;F;79;20210415;48000;Espresso Doble;12-14;Insular;3
51;F;66;20240408;38000;Café del día;18-20;Insular;4
52;F;56;20230626;52000;Latte;18-20;Orinoquía;5
53;F;39;20200723;56000;Americano;18-20;Andina;4
54;;28;20230528;65400;Mocha Blanco Latte;16-18;Insular;2
55;M;42;20220117;96000;Arequipe Latte;14-16;Caribe;3
56;;28;20231013;65400;Mocha Blanco Latte;10-12;Caribe;2
57;;28;20211220;65400;Chocolate Blanco;14-16;Orinoquía;4
58;F;78;20221009;93000;Cappuccino;16-18;Caribe;3
59;M;45;20231006;48000;Chocolate Blanco Helado;16-18;Insular;3
60;M;29;20220430;50000;Americano;18-20;Orinoquía;3
61;M;44;20230924;35000;Espresso Macchiato;10-12;Orinoquía;4
62;M;63;20240713;56000;Espresso Macchiato;20-22;Caribe;2
63;M;36;20231228;56000;Americano;16-18;Caribe;4
64;F;76;20240314;47000;Mocha Blanco Latte;10-12;Orinoquía;4
65;M;68;20230823;87000;Espresso Sencillo;20-22;Pacífica;5
66;M;75;20211129;52000;Café del día;18-20;Pacífica;3
67;M;67;20230226;76000;Café del día;10-12;Insular;1
68;M;77;20220730;51000;Caramel Macchiato;18-20;Orinoquía;5
69;M;76;20200831;64000;Latte;16-18;Pacífica;3
70;M;57;20240207;98000;Flat White;14-16;Pacífica;4
71;F;53;20220706;72000;Café del día;14-16;Andina;4
72;F;53;20221231;117000;Arequipe Latte;10-12;Pacífica;5
73;F;53;20231026;55000;Espresso Macchiato;20-22;Pacífica;1
74;F;61;20231110;112000;Chocolate Blanco Helado;12-14;Insular;2
75;F;67;20220910;77000;Mocha Latte;14-16;Insular;4
76;F;58;20240125;85000;Mocha Blanco Latte;14-16;Orinoquía;4
77;F;46;20240629;36000;Latte;10-12;Insular;2
78;M;30;20231202;41000;Chocolate Caliente;18-20;Pacífica;2
79;M;59;20230820;89000;Chocolate Blanco;10-12;Pacífica;2
80;;28;20230918;65400;Latte Macchiato;12-14;Caribe;3
81;M;51;20211231;41000;Cappuccino;10-12;Orinoquía;5
82;M;27;20240110;35000;Flat White;18-20;Andina;5
83;M;40;20240227;53000;Latte Macchiato;10-12;Insular;1
84;;28;20210920;65400;Latte;10-12;Caribe;2
85;F;73;20240419;91000;Flat White;12-14;Pacífica;2
86;F;74;20211224;107000;Caramel Macchiato;20-22;Andina;2
87;M;42;20211121;66000;Latte;20-22;Orinoquía;3
88;M;78;20211111;58000;Café del día;16-18;Insular;2
89;F;54;20221225;53000;Chocolate Blanco Helado;10-12;Orinoquía;4
90;F;70;20240613;74000;Americano;14-16;Pacífica;1
91;F;49;20230408;57000;Espresso Sencillo;12-14;Orinoquía;2
92;F;62;20240410;57000;Flat White;12-14;Andina;1
93;M;64;20230305;70000;Arequipe Latte;10-12;Insular;2
94;F;89;20231114;87000;Café del día;20-22;Caribe;3
95;M;73;20240401;51000;Latte Macchiato;20-22;Pacífica;2
96;;28;20220806;65400;Mocha Blanco Latte;12-14;Insular;3
97;F;50;20230506;93000;Chocolate Caliente;16-18;Orinoquía;5
98;F;90;20211210;98000;Cappuccino;16-18;Andina;5
